,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.61,3.11,2.7,5.14,3.38,1.97,0.0,19.0,6.4,2.91,3.53,4.36,4.31,12.18,Engineering,Very Good,Good,0.0,0.0,0.0,Elisabeth Wallin,African-American,female,2.0,USA,32.0,94304
1,-1.13,3.37,1.4,1.79,2.58,-2.99,0.0,32.0,3.4,0.45,2.08,-1.0,-0.84,6.25,Sciences,Ok,Good,0.0,1.0,0.0,Betty Bragg,African-American,female,0.0,USA,32.0,94544
2,-0.32,3.09,2.7,4.18,3.23,-0.49,0.0,21.0,2.7,-0.24,0.18,-3.68,-2.52,4.28,Quantitative,Very Good,Good,0.0,0.0,0.0,Kristina Kee,African-American,female,0.0,USA,30.0,94538
3,0.65,2.76,2.4,7.35,3.51,1.86,0.0,40.0,3.9,0.63,1.73,-0.11,-0.47,6.18,Sciences,None,Good,0.0,0.0,0.0,Latasha Poole,African-American,female,2.0,USA,30.0,94603
4,-0.94,3.18,1.9,1.02,3.4,0.56,1.3,14.0,2.0,-0.97,2.9,0.63,0.66,8.0,Humanities,Ok,Good,0.0,0.0,0.0,Christine Kauffman,African-American,female,0.0,USA,28.0,95002
5,0.07,3.53,3.3,5.14,3.92,2.08,0.0,46.0,3.6,0.34,1.42,-2.92,-2.94,3.62,Engineering,Ok,Good,0.0,0.0,0.0,Sharon Rahaman,African-American,female,2.0,USA,32.0,94019
6,0.75,3.19,1.9,5.09,3.39,2.63,0.0,22.0,3.0,-0.0,1.95,-0.39,-1.15,5.49,Quantitative,Very Good,Good,1.0,0.0,0.0,Ruby Wolf,African-American,female,2.0,USA,27.0,94061
7,0.64,3.05,2.7,11.32,4.4,3.7,0.0,8.0,5.1,1.83,1.12,-1.83,-0.8,6.29,Engineering,Very Good,Good,1.0,0.0,0.0,Jill Anderson,African-American,female,2.0,USA,42.0,94085
8,-0.42,2.88,2.1,3.31,2.6,-2.35,0.0,27.0,0.1,-2.44,2.18,-0.39,0.47,7.92,Quantitative,None,Bad,0.0,0.0,0.0,Jean Torres,African-American,female,0.0,USA,25.0,94070
9,0.04,2.61,3.2,0.62,2.27,-1.9,0.0,77.0,0.8,-1.63,1.88,-0.26,-0.07,6.86,Humanities,Ok,Good,0.0,0.0,0.0,Shirley Johnson,African-American,female,0.0,USA,21.0,94945
10,0.06,2.36,1.7,7.05,3.11,-0.2,0.0,60.0,2.9,0.28,0.0,-3.84,-2.96,3.41,Quantitative,Ok,Good,0.0,0.0,0.0,Karen Smith,African-American,female,0.0,USA,29.0,94707
11,-0.93,2.84,1.0,5.22,2.82,-2.38,0.0,45.0,0.0,-3.25,2.14,-1.1,-2.35,3.97,Engineering,Very Good,Bad,0.0,0.0,0.0,Toni Mcintyre,African-American,female,0.0,USA,31.0,94105
12,-1.36,2.95,2.0,-0.62,2.49,-2.97,0.0,12.0,5.3,2.13,1.98,-1.09,-0.58,6.57,Engineering,None,Bad,0.0,1.0,0.0,Donna Rios,African-American,female,0.0,USA,26.0,94087
13,0.32,2.96,1.5,5.1,3.36,1.85,0.0,5.0,5.0,1.52,1.63,-1.23,-1.93,4.38,Engineering,Ok,Good,0.0,1.0,0.0,Kerri Wallin,African-American,female,2.0,USA,36.0,94043
14,0.89,2.51,3.3,5.56,3.2,1.84,0.0,30.0,4.2,1.0,2.46,-0.9,-0.61,6.67,Quantitative,Very Good,Good,0.0,0.0,0.0,Tara Sandmeier,African-American,female,2.0,USA,36.0,94587
15,1.24,2.82,2.8,6.14,3.52,3.59,0.0,6.0,2.8,-0.44,3.55,3.19,2.86,10.33,Engineering,Ok,Good,0.0,0.0,0.0,Shirley Siske,African-American,female,2.0,USA,28.0,94043
16,0.02,3.48,2.5,6.57,4.38,3.65,0.0,51.0,1.4,-1.01,0.19,-2.82,-2.56,3.79,Sciences,Ok,Good,0.0,0.0,0.0,Maritza Meyers,African-American,female,2.0,USA,29.0,94618
17,-0.25,2.81,1.0,3.83,2.08,-3.23,0.0,21.0,3.2,0.1,1.89,-0.21,-0.95,5.63,Engineering,Ok,Good,0.0,1.0,0.0,Natasha Byrnes,African-American,female,0.0,USA,26.0,94538
18,-0.37,3.03,2.1,1.97,3.32,1.18,0.0,42.0,0.0,-3.52,0.0,-4.82,-4.27,1.82,Humanities,Very Good,Bad,0.0,0.0,0.0,Annie Johnston,African-American,female,2.0,USA,26.0,94605
19,-0.35,2.96,1.8,-1.49,2.31,-1.17,0.0,45.0,3.0,-0.08,2.34,1.09,1.86,9.46,Quantitative,Ok,Bad,0.0,0.0,0.0,Sarah Cartwright,African-American,female,0.0,USA,27.0,94105
20,0.04,4.29,3.0,4.47,3.67,0.98,0.0,38.0,3.3,0.49,1.7,-0.35,0.02,7.02,Quantitative,Very Good,Bad,0.0,0.0,0.0,Rachael Barker,African-American,female,0.0,USA,33.0,94586
21,0.41,3.12,3.7,6.11,3.72,1.88,0.0,39.0,4.0,0.86,1.06,-0.39,-0.13,6.68,Engineering,Ok,Bad,0.0,0.0,0.0,Christine Gibson,African-American,female,2.0,USA,33.0,94578
22,-0.25,2.87,1.0,3.39,2.3,-2.3,0.0,59.0,7.3,3.89,3.59,2.89,3.06,10.81,Engineering,None,Good,0.0,0.0,0.0,Cheri Sellers,African-American,female,0.0,USA,37.0,94709
23,-0.71,3.3,3.3,4.2,3.06,-2.27,0.0,6.0,8.0,4.23,1.02,-2.69,-1.38,5.79,Engineering,Very Good,Bad,1.0,0.0,0.0,Alice Solesbee,African-American,female,0.0,USA,37.0,94043
24,-0.52,3.08,1.4,-0.39,1.79,-3.71,0.0,23.0,1.9,-1.0,4.6,5.94,4.8,12.49,Engineering,None,Bad,0.0,1.0,0.0,Kathy Wright,African-American,female,0.0,USA,21.0,94028
25,0.88,3.28,1.2,7.47,3.83,4.04,0.0,14.0,3.7,0.36,1.45,-0.42,-1.02,5.3,Quantitative,Very Good,Good,1.0,0.0,0.0,Marlene Lim,African-American,female,2.0,USA,37.0,95002
26,-0.25,2.89,1.5,3.5,3.23,0.84,0.0,48.0,3.0,0.2,3.72,3.6,3.1,10.68,Engineering,Ok,Good,0.0,0.0,0.0,Kristen Morris,African-American,female,0.0,USA,29.0,94109
27,0.67,2.61,1.8,3.68,2.97,1.65,2.3,55.0,3.8,1.2,2.64,0.5,0.14,7.22,Sciences,Ok,Good,0.0,0.0,0.0,Jeanette Jackson,African-American,female,2.0,USA,31.0,94523
28,-0.21,3.0,3.2,3.1,3.55,1.23,0.0,10.0,4.2,0.98,1.38,-1.1,-0.15,7.16,Quantitative,Ok,Good,0.0,0.0,0.0,Lise Davis,African-American,female,0.0,USA,27.0,94085
29,-0.98,2.52,2.2,1.04,2.22,-3.74,0.0,77.0,2.5,-0.32,0.57,-2.21,-1.71,4.95,Engineering,Ok,Good,0.0,1.0,0.0,Melanie Theiler,African-American,female,0.0,USA,25.0,94945
30,-0.03,3.09,2.6,2.48,2.25,-2.63,0.0,42.0,1.8,-1.05,1.2,-1.66,-0.14,7.24,Quantitative,None,Bad,0.0,0.0,0.0,Susan Carroll,African-American,female,0.0,USA,23.0,94605
31,-0.14,3.25,1.6,4.15,2.54,-1.98,0.0,11.0,0.5,-2.63,2.05,0.27,1.06,8.55,Engineering,Ok,Good,0.0,0.0,0.0,Faith Hildreth,African-American,female,0.0,USA,30.0,94089
32,-0.02,2.93,3.3,4.95,3.57,0.98,0.0,14.0,5.8,2.32,1.17,-0.91,-0.91,5.82,Quantitative,Very Good,Good,0.0,1.0,0.0,Lillie Wells,African-American,female,0.0,USA,32.0,95002
33,-0.7,2.17,2.2,0.46,2.09,-2.98,3.2,23.0,5.3,1.95,2.3,-0.27,0.31,7.66,Engineering,None,Bad,0.0,1.0,0.0,Brandy Buckley,African-American,female,0.0,Canada,34.0,94028
34,0.55,2.86,1.8,6.08,3.4,2.13,2.4,30.0,4.5,1.82,2.83,1.55,0.49,7.41,Quantitative,Very Good,Good,0.0,0.0,0.0,Katherine Stewart,African-American,female,2.0,USA,32.0,94587
35,0.76,2.66,1.5,6.19,2.2,-1.6,0.0,26.0,1.8,-1.28,0.08,-2.17,-1.86,4.49,Quantitative,Very Good,Good,0.0,0.0,0.0,Flora Berard,African-American,female,0.0,USA,27.0,94403
36,1.05,2.55,1.5,6.03,2.95,2.11,0.0,4.0,3.6,0.42,1.96,0.48,0.64,7.72,Humanities,Very Good,Good,0.0,0.0,0.0,Sadie Patton,African-American,female,2.0,USA,34.0,94040
37,-0.44,2.71,2.5,2.39,2.96,-0.76,0.0,17.0,3.4,0.2,3.59,2.47,2.25,9.97,Engineering,None,Good,0.0,0.0,0.0,Dorothy Dillard,African-American,female,0.0,USA,34.0,94301
38,0.85,3.39,1.3,6.09,3.27,2.28,0.0,11.0,2.2,-0.98,0.0,-2.32,-1.55,5.12,Humanities,Very Good,Good,0.0,0.0,0.0,Judith Mattews,African-American,female,2.0,USA,31.0,94089
39,0.72,3.21,2.8,4.76,3.39,2.12,0.0,15.0,0.8,-2.16,1.16,-0.93,-1.32,5.16,Quantitative,Ok,Good,0.0,0.0,0.0,Shirley Truong,African-American,female,2.0,USA,28.0,95002
40,0.56,2.83,2.3,4.59,3.05,1.03,1.1,62.0,0.8,-1.97,2.01,0.05,0.68,8.1,Engineering,None,Good,0.0,0.0,0.0,Jeanne Smith,African-American,female,0.0,USA,25.0,94564
41,0.64,3.35,0.7,6.78,3.23,1.74,0.0,30.0,2.7,-0.15,2.27,0.54,0.32,7.37,Engineering,Ok,Bad,0.0,0.0,0.0,Mary Marshall,African-American,female,2.0,USA,33.0,94587
42,1.28,3.14,1.6,5.61,3.58,4.57,0.0,21.0,1.6,-1.1,3.47,3.37,3.21,10.86,Engineering,Very Good,Good,1.0,0.0,0.0,Gloria Friday,African-American,female,2.0,USA,34.0,94538
43,-0.61,2.28,1.5,-1.58,1.31,-4.89,0.0,109.0,0.1,-2.02,2.41,1.13,1.09,8.32,Engineering,Very Good,Good,0.0,1.0,1.0,Christie Averett,African-American,female,0.0,USA,22.0,95620
44,-1.07,2.43,2.0,0.45,2.57,-2.14,0.0,44.0,1.7,-1.19,2.06,-0.7,-0.56,6.52,Humanities,Ok,Bad,1.0,0.0,0.0,Denise Young,African-American,female,0.0,USA,20.0,94131
45,-0.18,2.43,1.2,6.04,3.13,0.29,0.0,16.0,4.2,1.12,2.19,0.49,0.66,7.87,Engineering,Very Good,Bad,1.0,0.0,0.0,Diana Mack,African-American,female,0.0,Canada,30.0,95134
46,0.18,2.57,1.6,6.17,2.35,-2.29,0.0,43.0,3.8,0.7,2.03,0.71,1.44,8.89,Engineering,None,Good,0.0,0.0,0.0,Michelle Benner,African-American,female,0.0,USA,33.0,94014
47,0.05,2.95,3.4,3.9,3.7,1.98,0.0,8.0,3.0,-0.27,0.0,-3.06,-2.47,3.9,Sciences,Ok,Good,1.0,0.0,0.0,Norma Pascual,African-American,female,0.0,USA,28.0,94085
48,-1.16,3.32,2.9,5.21,4.19,0.96,0.0,75.0,1.3,-1.45,0.71,-0.8,-0.94,5.48,Engineering,None,Good,1.0,0.0,0.0,Michelle Huffman,African-American,female,0.0,USA,33.0,94941
49,1.2,2.95,3.0,6.89,3.98,4.59,1.7,11.0,2.8,-0.18,2.32,0.7,0.05,6.8,Engineering,Very Good,Good,1.0,0.0,0.0,Barbara Frakes,African-American,female,2.0,USA,31.0,94089
50,-1.58,3.07,2.2,0.42,2.72,-3.3,0.0,13.0,1.7,-1.26,1.65,0.04,0.46,7.56,Sciences,None,Bad,0.0,1.0,0.0,Jennifer Devenny,African-American,female,0.0,USA,23.0,94022
51,-0.24,2.81,2.2,6.95,3.78,1.47,0.0,13.0,5.3,2.02,2.73,2.3,3.6,11.67,Engineering,Very Good,Good,0.0,0.0,0.0,Linda Yokum,African-American,female,0.0,USA,35.0,94022
52,-0.24,3.73,3.9,4.99,4.18,1.89,0.0,18.0,3.0,-0.51,1.24,-0.07,-0.26,6.42,Humanities,Ok,Good,0.0,0.0,0.0,Dawn Case,African-American,female,1.0,USA,30.0,95035
53,0.19,2.53,3.4,3.49,3.38,1.66,0.0,26.0,3.8,0.58,1.65,-0.29,0.1,7.18,Quantitative,Ok,Good,0.0,0.0,0.0,Carolyn Powell,African-American,female,2.0,USA,30.0,94403
54,1.34,2.46,0.9,4.46,2.97,3.62,0.0,39.0,1.0,-2.09,2.49,1.29,1.68,9.13,Humanities,Ok,Good,1.0,0.0,0.0,Rachel Oates,African-American,female,2.0,Canada,27.0,94578
55,1.19,3.87,2.7,8.39,4.27,4.68,0.0,36.0,3.7,0.79,2.3,1.77,1.12,7.93,Humanities,Ok,Good,0.0,0.0,0.0,Irene Hilchey,African-American,female,2.0,USA,39.0,94588
56,-0.98,1.89,0.8,3.69,1.72,-5.55,0.0,3.0,6.0,2.62,1.13,-0.11,0.78,7.91,Humanities,None,Good,0.0,1.0,1.0,Eileen Mee,African-American,female,0.0,USA,32.0,94040
57,0.11,2.95,2.1,5.56,2.83,-0.91,0.0,8.0,5.5,2.0,1.16,-2.27,-2.5,3.92,Engineering,None,Bad,0.0,0.0,0.0,Donna Weaver,African-American,female,0.0,USA,37.0,94085
58,1.87,3.65,3.6,8.17,4.95,8.27,0.0,81.0,0.0,-5.04,2.5,0.38,0.06,6.99,Engineering,None,Good,1.0,0.0,0.0,Heather Jones,African-American,female,2.0,USA,28.0,94561
59,-2.61,2.32,1.1,-2.52,0.83,-10.45,0.0,49.0,3.0,0.21,4.4,3.28,2.16,9.56,Humanities,None,Bad,0.0,1.0,1.0,Lori Liberatore,African-American,female,0.0,USA,25.0,94502
60,-0.75,3.59,2.5,4.12,3.05,-2.44,2.2,20.0,3.3,0.32,2.13,0.82,1.21,8.57,Quantitative,None,Good,1.0,0.0,0.0,Gloria Duke,African-American,female,0.0,USA,29.0,94025
61,0.48,2.8,1.3,2.17,1.98,-1.58,0.0,23.0,4.3,0.86,1.24,-1.34,-1.5,5.04,Engineering,Ok,Bad,0.0,0.0,0.0,Ilene Hunt,African-American,female,0.0,USA,30.0,94028
62,-0.17,2.93,2.6,4.87,2.72,-2.2,0.0,42.0,2.9,-0.05,3.0,2.67,2.69,10.26,Engineering,Ok,Good,0.0,1.0,0.0,Katherine Podesta,African-American,female,0.0,USA,28.0,94605
63,0.31,3.99,2.9,7.74,4.19,2.59,0.0,89.0,1.9,-0.69,1.18,-1.03,-1.13,5.41,Quantitative,Ok,Good,1.0,0.0,0.0,Jane Coffield,African-American,female,2.0,USA,31.0,94559
64,0.39,3.12,1.2,6.31,3.15,0.97,0.0,42.0,2.4,-0.58,1.59,-1.57,-1.2,5.67,Engineering,None,Good,0.0,0.0,0.0,Carmen Twitty,African-American,female,0.0,USA,32.0,94605
65,0.6,3.33,3.7,2.83,3.8,3.49,0.0,38.0,4.0,0.93,1.76,-2.45,-1.68,5.54,Quantitative,Very Good,Good,1.0,0.0,0.0,Janene York,African-American,female,2.0,USA,27.0,94586
66,-0.81,2.81,0.8,1.24,1.98,-3.69,0.0,34.0,2.3,-0.56,3.69,5.52,4.84,12.49,Engineering,None,Bad,0.0,1.0,0.0,Michelle Pendergrass,African-American,female,0.0,USA,29.0,94030
67,-2.04,2.28,1.9,-2.5,1.81,-6.02,0.0,13.0,8.0,3.91,1.01,-0.98,-0.81,5.88,Engineering,None,Good,0.0,1.0,1.0,Sharon Mcnally,African-American,female,1.0,USA,33.0,94022
68,0.55,3.77,2.7,7.43,4.15,3.26,2.3,27.0,3.5,0.34,1.7,0.09,0.11,6.93,Sciences,Very Good,Good,1.0,0.0,0.0,Chris Deanda,African-American,female,2.0,USA,38.0,94070
69,-0.55,3.15,0.7,4.61,2.92,-1.04,0.0,37.0,5.8,1.96,0.0,-5.05,-4.47,1.65,Engineering,Ok,Bad,0.0,0.0,0.0,Amanda Kennedy,African-American,female,0.0,USA,30.0,94545
70,-0.74,2.84,2.1,0.18,2.26,-2.91,2.0,4.0,2.8,-0.43,2.06,0.8,2.02,9.73,Engineering,None,Good,1.0,1.0,0.0,Terri Robinson,African-American,female,0.0,USA,31.0,94040
71,-0.15,2.39,2.6,6.53,3.13,-0.91,0.0,4.0,6.8,3.17,0.0,-4.5,-3.74,2.4,Engineering,Ok,Bad,0.0,0.0,0.0,Patricia Oliver,African-American,female,0.0,USA,38.0,94040
72,-0.76,1.9,0.9,-1.28,1.5,-3.97,0.0,44.0,1.3,-1.49,0.0,-4.45,-2.39,4.58,Quantitative,Ok,Good,0.0,1.0,1.0,Anna Kazanjian,African-American,female,0.0,USA,31.0,94131
73,0.29,3.71,2.3,4.61,3.63,1.9,3.6,22.0,6.2,2.9,2.38,0.95,0.93,8.21,Quantitative,Very Good,Good,0.0,0.0,0.0,Beatrice Thomas,African-American,female,2.0,USA,37.0,94061
