,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.1,2.65,3.1,3.31,3.48,1.94,0.0,26.0,1.7,-0.24,3.06,0.02,-0.08,7.18,Quantitative,Very Good,Good,0.0,0.0,0.0,Natasha Holloway,Caucasian,female,2.0,USA,26.0,94403
1,-0.09,3.11,3.0,4.2,3.6,1.23,0.0,30.0,4.6,3.72,1.01,-2.68,-2.6,3.99,Engineering,Ok,Good,0.0,0.0,0.0,Corrine Dorsey,Caucasian,female,0.0,USA,30.0,94587
2,0.49,2.41,1.8,4.8,2.73,0.11,5.4,22.0,2.0,2.24,3.9,2.43,2.63,10.62,Engineering,Very Good,Good,0.0,0.0,0.0,Cora Denton,Caucasian,female,0.0,USA,38.0,94061
3,0.43,2.87,2.3,7.3,3.64,2.01,0.0,20.0,7.1,4.23,2.58,1.29,1.68,9.12,Sciences,None,Good,0.0,1.0,0.0,See Fitzgerald,Caucasian,female,2.0,USA,35.0,94025
4,-0.25,2.9,3.0,6.5,3.76,0.72,0.0,52.0,4.2,1.4,2.97,2.15,2.11,9.56,Quantitative,None,Bad,0.0,0.0,0.0,Jessica Boissonneault,Caucasian,female,0.0,USA,33.0,94611
5,0.41,2.43,1.9,3.79,3.22,2.2,0.0,40.0,5.0,2.03,2.51,-0.23,0.67,8.34,Engineering,Very Good,Good,0.0,0.0,0.0,Valentine Johnson,Caucasian,female,2.0,USA,31.0,94603
6,0.66,4.05,2.0,9.39,4.44,4.28,0.8,32.0,2.2,-1.54,3.32,1.95,3.14,11.4,Engineering,Ok,Bad,1.0,1.0,0.0,Evelyn Johnson,Caucasian,female,2.0,USA,37.0,94544
7,-0.58,2.9,1.3,1.08,1.89,-3.97,0.0,2.0,5.7,1.91,3.06,1.2,0.11,6.9,Engineering,None,Bad,0.0,1.0,0.0,Denise Booth,Caucasian,female,0.0,USA,35.0,94040
8,0.19,3.1,2.2,3.66,3.81,3.36,0.0,33.0,2.0,0.85,1.5,-1.08,-0.82,6.04,Quantitative,None,Good,1.0,0.0,0.0,Gloria Costello,Caucasian,female,2.0,Australia,29.0,94010
9,-0.23,3.13,1.7,5.77,3.42,0.57,0.0,2.0,5.1,1.45,0.58,-2.54,-2.24,4.33,Engineering,Very Good,Good,0.0,0.0,0.0,Regina Johnson,Caucasian,female,0.0,USA,30.0,94040
10,0.36,3.53,3.1,6.45,4.07,2.76,2.3,12.0,8.1,2.16,1.68,1.5,1.36,8.25,Sciences,Ok,Good,1.0,0.0,0.0,Elizabeth Alter,Caucasian,female,2.0,USA,42.0,94087
11,0.68,4.0,2.5,4.93,4.72,6.66,0.0,17.0,5.1,1.75,1.39,-2.24,-1.55,5.47,Engineering,Very Good,Good,1.0,0.0,0.0,Peggy Rutter,Caucasian,female,2.0,USA,36.0,94301
12,2.23,2.75,1.9,8.86,3.62,5.67,0.0,34.0,4.4,-0.47,1.56,0.4,0.74,7.75,Engineering,Ok,Good,1.0,0.0,0.0,Susan Weber,Caucasian,female,2.0,USA,40.0,94030
13,0.35,3.23,2.0,6.28,3.66,2.27,0.0,37.0,4.5,1.49,3.98,3.46,2.57,9.84,Engineering,Very Good,Good,0.0,0.0,0.0,Lillie Siebert,Caucasian,female,2.0,USA,33.0,94545
14,0.65,3.08,2.4,4.61,3.07,1.21,0.0,33.0,1.4,-1.81,1.76,-0.46,-1.18,5.34,Quantitative,Ok,Good,0.0,0.0,0.0,Lynell Warner,Caucasian,female,0.0,USA,27.0,94010
