,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.49,2.99,1.1,2.8,2.35,-0.32,1.1,49.0,1.4,-1.47,3.85,4.22,4.24,12.22,Quantitative,Very Good,Good,0.0,0.0,0.0,Shari Aaron,Hispanic,female,0.0,Canada,27.0,94502
1,-0.4,3.23,1.6,1.17,2.65,-1.0,0.0,4.0,2.8,-0.41,0.29,-2.27,-2.06,4.29,Engineering,Very Good,Bad,0.0,0.0,0.0,Samantha Jackson,Hispanic,female,0.0,USA,25.0,94040
2,0.67,3.22,2.3,6.76,3.75,3.04,0.0,35.0,9.0,5.42,0.24,-3.33,-3.1,3.22,Engineering,Ok,Good,1.0,0.0,0.0,Sara Miner,Hispanic,female,2.0,USA,35.0,94566
3,-0.87,2.7,2.4,5.11,2.65,-3.64,1.1,44.0,1.3,-1.47,2.09,0.5,0.55,7.64,Sciences,Very Good,Bad,0.0,1.0,0.0,Susana Goodman,Hispanic,female,0.0,Mexico,30.0,94131
4,0.09,3.37,2.1,4.48,3.22,0.58,2.7,7.0,4.5,0.98,1.78,0.32,0.11,7.02,Engineering,Ok,Good,0.0,0.0,0.0,Ethel Arthur,Hispanic,female,0.0,USA,30.0,94043
5,0.71,2.87,1.2,7.43,3.1,1.28,0.0,31.0,1.4,-1.49,3.66,2.77,2.93,10.65,Engineering,Very Good,Good,0.0,0.0,0.0,Sara Boltz,Hispanic,female,0.0,Mexico,31.0,94544
6,0.0,3.06,2.2,4.29,3.43,1.33,0.0,28.0,3.9,0.87,1.82,0.32,0.15,7.04,None,Ok,Good,1.0,0.0,0.0,Clara Baker,Hispanic,female,0.0,USA,29.0,94402
7,0.57,3.13,2.2,4.56,3.33,2.15,0.0,28.0,0.5,-2.15,3.07,1.27,2.49,10.66,Engineering,Very Good,Good,0.0,0.0,0.0,Kelsey Corcoran,Hispanic,female,2.0,Canada,29.0,94402
8,-0.83,2.65,0.9,1.67,2.01,-3.86,2.3,30.0,3.6,0.77,1.08,-4.07,-3.41,3.4,Engineering,None,Bad,0.0,1.0,1.0,Sandra Andrews,Hispanic,female,0.0,USA,28.0,94587
9,-0.02,3.07,2.7,1.9,3.2,0.95,0.0,72.0,2.5,0.06,1.08,-2.97,-3.46,2.7,Engineering,Ok,Good,0.0,0.0,0.0,Julie Thomas,Hispanic,female,0.0,Mexico,23.0,94572
10,-0.3,3.88,2.0,6.0,3.18,-1.26,0.0,50.0,3.6,0.47,2.57,2.08,1.75,8.9,Quantitative,Ok,Bad,0.0,0.0,0.0,Charlene Broderick,Hispanic,female,0.0,USA,29.0,94609
