,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.26,3.56,2.7,5.03,4.14,3.81,0.0,8.0,3.2,0.28,1.47,0.12,-0.99,5.18,Quantitative,Very Good,Good,1.0,0.0,0.0,Gertrude Stamdifer,Other,female,2.0,USA,36.0,94085
1,-0.22,2.66,1.5,3.91,2.98,0.07,0.0,26.0,4.5,0.96,1.32,-0.7,-0.86,5.75,Humanities,Very Good,Good,0.0,0.0,0.0,Sharon Nasta,Other,female,2.0,USA,29.0,94403
2,-0.94,2.58,1.6,1.77,2.06,-4.25,0.0,36.0,1.6,-1.23,2.08,-0.34,-0.29,6.78,Quantitative,Ok,Bad,0.0,1.0,0.0,Jane Whiteman,Other,female,0.0,Australia,27.0,94588
3,0.14,2.31,2.1,4.8,2.31,-2.12,0.0,17.0,5.5,2.08,1.71,1.02,0.44,7.08,Engineering,None,Bad,0.0,0.0,0.0,Rose Faupel,Other,female,0.0,USA,30.0,94301
4,-0.22,2.95,3.1,2.65,3.25,0.15,2.1,50.0,3.1,0.33,2.98,1.47,0.86,7.89,Sciences,Ok,Bad,0.0,0.0,0.0,Doris Baillargeon,Other,female,0.0,USA,34.0,94609
5,-0.47,3.08,0.4,0.48,1.67,-3.58,0.0,74.0,0.0,-2.66,1.12,-1.12,-0.93,5.82,Quantitative,None,Bad,0.0,1.0,0.0,Janet Ackerman,Other,female,0.0,USA,25.0,94591
6,-0.76,3.48,2.6,3.68,3.16,-1.57,0.0,70.0,0.1,-2.35,2.77,1.31,0.85,7.97,Engineering,Ok,Good,0.0,0.0,0.0,Jennifer Sanchez,Other,female,0.0,Canada,27.0,94903
7,0.33,3.15,2.6,3.12,3.22,1.34,0.0,68.0,1.4,-0.96,2.8,0.92,-0.11,6.66,Sciences,Ok,Good,0.0,0.0,0.0,Mabel Fleenor,Other,female,0.0,USA,27.0,94569
8,-0.44,3.19,2.1,2.29,3.14,0.11,0.0,32.0,2.3,-0.86,2.51,1.26,1.8,9.37,Engineering,Very Good,Good,0.0,0.0,0.0,Janet Howard,Other,female,0.0,USA,27.0,94544
9,0.44,3.26,3.2,4.76,3.89,3.39,0.0,47.0,0.0,-2.62,3.47,2.49,2.38,10.0,Quantitative,Very Good,Bad,1.0,0.0,0.0,Amy Martinez,Other,female,2.0,USA,31.0,94114
10,-1.15,2.54,2.1,3.66,2.35,-4.71,0.0,23.0,2.6,-0.52,1.75,-0.32,-1.04,5.48,Sciences,None,Good,0.0,1.0,1.0,Deborah Kmiotek,Other,female,0.0,USA,33.0,94028
11,2.34,3.0,1.1,6.85,2.76,3.68,0.0,23.0,1.7,-1.3,0.0,-7.19,-5.91,0.33,Humanities,Ok,Bad,1.0,0.0,0.0,Jennifer Casares,Other,female,2.0,USA,28.0,94028
12,0.16,2.7,0.6,5.67,2.12,-2.63,0.0,63.0,1.6,-1.24,0.31,-4.1,-3.59,2.8,Humanities,Very Good,Bad,0.0,1.0,0.0,Theresa Pearson,Other,female,0.0,USA,26.0,94801
13,0.51,2.58,2.6,3.68,3.35,2.58,0.0,59.0,5.3,2.31,0.88,-3.16,-2.79,3.86,Engineering,Very Good,Bad,1.0,0.0,0.0,Kimberly Willard,Other,female,2.0,USA,38.0,94709
14,-0.19,2.32,1.2,3.22,2.02,-2.87,0.0,24.0,2.8,-0.22,1.52,-0.21,-2.09,3.7,Engineering,Ok,Good,0.0,1.0,0.0,Tammy Hogan,Other,female,0.0,Canada,31.0,94027
15,-1.76,2.73,1.1,3.0,2.44,-4.79,0.0,36.0,2.4,-0.71,0.55,-2.72,-3.32,2.72,Sciences,None,Bad,0.0,1.0,1.0,Annett Hein,Other,female,0.0,USA,30.0,94588
16,-1.3,2.74,2.4,-4.32,1.26,-6.11,0.0,12.0,5.5,2.26,1.29,-1.18,-0.52,6.63,Engineering,None,Bad,0.0,1.0,1.0,Mattie Corr,Other,female,0.0,USA,26.0,94087
17,-1.19,2.13,-0.0,1.21,1.04,-7.01,0.0,2.0,0.9,-1.98,0.0,-3.31,-3.54,2.42,Quantitative,None,Bad,0.0,1.0,1.0,Sadie Johnson,Other,female,0.0,USA,23.0,94040
18,0.81,3.01,1.7,1.77,2.0,-1.0,0.0,73.0,0.4,-2.14,0.47,-2.22,-2.07,4.27,Engineering,None,Good,0.0,0.0,0.0,Evelyn Vulich,Other,female,0.0,USA,24.0,94591
19,0.64,3.14,3.4,5.34,4.11,4.2,0.0,1.0,5.6,2.22,1.06,-1.59,-1.81,4.61,Engineering,Ok,Good,1.0,0.0,0.0,Kassandra Allen,Other,female,1.0,China,33.0,94040
20,-0.2,2.74,3.2,1.61,2.76,-0.93,0.0,11.0,0.2,-2.67,2.7,3.66,2.79,9.74,Quantitative,Ok,Good,1.0,0.0,0.0,Elsie Barnes,Other,female,0.0,USA,21.0,94089
21,-0.59,3.79,2.2,3.47,3.18,-1.01,0.0,41.0,5.4,1.96,1.92,0.03,-0.46,6.33,Quantitative,None,Good,0.0,0.0,0.0,Beverly Nieves,Other,female,0.0,USA,31.0,94542
22,0.51,2.94,2.5,7.14,3.54,1.84,0.0,40.0,3.3,0.36,1.89,-0.01,-0.13,6.66,Humanities,Very Good,Good,0.0,0.0,0.0,Kimberly Wentz,Other,female,0.0,USA,32.0,94603
23,0.23,2.72,2.0,4.41,2.42,-1.59,0.0,12.0,5.7,2.06,0.61,-0.93,-0.55,6.01,Sciences,None,Bad,0.0,0.0,0.0,Nora Crawford,Other,female,0.0,USA,37.0,94087
24,-1.06,2.44,0.7,1.31,0.92,-7.93,0.0,24.0,0.4,-2.24,2.35,2.76,2.85,10.18,Humanities,Ok,Good,0.0,1.0,1.0,Georgie Craun,Other,female,0.0,USA,20.0,94027
25,0.68,2.78,1.7,6.87,2.78,-0.04,1.5,16.0,2.3,-0.62,1.16,-0.77,-0.87,5.6,Engineering,None,Bad,0.0,0.0,0.0,Claire Lambert,Other,female,0.0,China,34.0,95134
26,-1.56,3.0,2.6,-0.51,2.58,-3.59,0.0,54.0,1.9,-0.83,1.31,-1.46,-0.64,6.52,Engineering,None,Bad,0.0,1.0,0.0,Laura Smith,Other,female,0.0,USA,27.0,94121
27,-0.64,2.49,2.2,6.15,3.39,-0.7,0.0,83.0,2.0,-0.43,1.03,-2.14,-1.81,4.82,Sciences,Ok,Bad,0.0,0.0,0.0,Jamie Hooker,Other,female,0.0,USA,31.0,94503
28,0.18,3.63,2.9,4.22,3.45,0.94,2.5,13.0,3.7,0.4,1.23,-2.14,-2.53,3.89,Engineering,Ok,Good,0.0,1.0,0.0,Sharon Rasmussen,Other,female,0.0,Canada,32.0,94022
