,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.09,3.08,1.6,4.67,2.77,-0.47,0.0,78.0,0.5,-1.75,1.83,-0.69,-0.6,6.36,Quantitative,Ok,Bad,0.0,0.0,0.0,David Thomas,African-American,male,0.0,USA,27.0,94592
1,1.5,4.36,3.2,6.42,4.57,6.8,0.0,46.0,5.0,1.96,4.45,4.31,4.36,12.48,Engineering,Very Good,Good,1.0,0.0,0.0,Michael Adams,African-American,male,2.0,USA,36.0,94019
2,-1.75,1.8,0.4,-1.71,0.26,-10.19,0.0,29.0,2.7,0.25,3.04,3.05,2.16,9.16,Engineering,Ok,Bad,0.0,1.0,1.0,Forest Rosa,African-American,male,0.0,Canada,25.0,94560
3,-0.11,3.66,2.4,3.37,3.13,-0.21,0.0,34.0,8.2,4.7,1.52,-0.37,-0.76,5.78,Engineering,None,Bad,0.0,1.0,0.0,Terence Torres,African-American,male,0.0,USA,37.0,94030
4,0.83,3.49,0.7,6.98,3.69,3.83,2.2,15.0,3.8,0.67,0.67,-1.49,-1.71,4.54,Engineering,Ok,Good,1.0,0.0,0.0,Dale Bouchard,African-American,male,2.0,USA,33.0,95002
5,0.44,2.39,0.1,8.29,2.22,-2.07,0.0,33.0,2.5,-0.46,0.0,-2.75,-2.54,3.69,Sciences,Ok,Bad,1.0,0.0,0.0,Wilbert Downey,African-American,male,0.0,USA,32.0,94010
6,-0.84,2.47,2.0,-1.58,2.01,-2.92,0.0,21.0,0.0,-3.6,0.21,-2.59,-2.82,3.18,Humanities,Ok,Good,0.0,1.0,0.0,Cornelius Mais,African-American,male,0.0,USA,19.0,94538
7,-0.23,2.5,1.4,6.61,2.44,-2.91,2.1,55.0,3.1,0.46,1.27,-1.92,-0.34,7.21,Quantitative,Ok,Bad,1.0,1.0,0.0,Vincent Cline,African-American,male,2.0,USA,36.0,94523
8,-0.5,2.38,1.2,1.3,2.09,-2.57,0.0,53.0,0.7,-2.27,2.69,0.3,-0.19,6.84,Engineering,Ok,Good,0.0,0.0,0.0,Franklin Smith,African-American,male,0.0,USA,27.0,94549
9,-0.48,2.66,1.6,6.92,2.91,-1.82,1.9,36.0,2.8,-0.14,1.35,-2.09,-1.72,5.09,Engineering,Ok,Bad,0.0,0.0,0.0,Christopher Tesmar,African-American,male,0.0,USA,34.0,94588
10,0.55,2.87,1.4,3.48,2.57,0.22,0.0,5.0,4.7,1.41,1.29,-0.41,-0.1,6.84,Quantitative,Ok,Good,0.0,0.0,0.0,Dallas Saxon,African-American,male,0.0,USA,30.0,94043
11,1.41,3.36,3.3,6.81,4.38,6.15,0.0,41.0,2.4,-0.34,2.45,2.06,1.5,8.54,Humanities,Ok,Good,1.0,1.0,1.0,Walter Trudell,African-American,male,2.0,USA,33.0,94542
12,1.31,3.16,3.5,6.95,4.41,6.04,0.0,43.0,0.9,-1.97,4.11,4.37,4.59,12.7,Engineering,Ok,Good,0.0,0.0,0.0,Patrick Swisher,African-American,male,2.0,USA,30.0,94014
13,0.43,2.79,-0.0,7.24,2.72,-0.05,1.5,16.0,2.4,-0.48,1.21,-0.93,-1.12,5.42,Quantitative,Very Good,Bad,0.0,0.0,0.0,Danny Parker,African-American,male,0.0,USA,31.0,95134
14,0.79,3.93,3.3,5.55,4.5,5.43,0.0,57.0,0.1,-2.47,2.51,0.68,0.71,7.85,Humanities,Very Good,Good,0.0,0.0,0.0,Dewayne Russell,African-American,male,2.0,USA,31.0,94038
15,-0.8,3.04,1.2,-0.73,2.13,-2.69,0.0,19.0,4.0,0.81,3.86,2.99,2.11,9.47,Engineering,None,Good,0.0,1.0,0.0,Alexander Arnold,African-American,male,0.0,USA,31.0,94304
