,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.38,3.41,2.8,3.45,3.61,2.57,0.0,94.0,0.0,-2.32,1.8,-0.57,-0.63,6.21,Quantitative,Ok,Good,1.0,0.0,0.0,Donnell Gray,Asian,male,2.0,USA,23.0,94904
1,0.83,3.08,1.3,6.21,2.91,0.83,0.0,30.0,4.0,1.19,3.05,2.58,1.81,8.87,Engineering,Ok,Bad,0.0,0.0,0.0,Enrique Dorris,Asian,male,0.0,USA,35.0,94587
2,0.44,2.81,3.1,5.24,3.6,2.24,0.0,17.0,0.7,-2.04,2.44,0.06,-0.44,6.44,Quantitative,Very Good,Good,0.0,0.0,0.0,James Fullerton,Asian,male,2.0,USA,29.0,94301
3,-0.22,3.4,1.6,5.23,3.07,-0.44,0.0,50.0,0.0,-2.21,2.2,0.74,1.5,9.05,Engineering,Ok,Bad,0.0,0.0,0.0,James Hill,Asian,male,0.0,USA,29.0,94609
4,0.05,3.41,2.8,-0.54,3.46,2.74,0.0,89.0,0.0,-2.28,3.38,1.19,0.95,8.4,Engineering,Very Good,Good,1.0,0.0,0.0,Felipe Nichols,Asian,male,2.0,USA,27.0,94559
5,1.01,2.21,3.0,3.62,2.79,1.45,0.0,75.0,0.0,-4.58,3.06,1.09,1.43,9.16,Engineering,Very Good,Good,0.0,0.0,0.0,Paul Broussard,Asian,male,2.0,USA,26.0,94941
6,0.81,3.31,1.6,7.45,3.25,1.44,0.0,31.0,2.3,-0.87,2.82,0.63,1.29,8.98,Humanities,Ok,Good,0.0,0.0,0.0,Martin Parrish,Asian,male,2.0,China,32.0,94544
7,0.06,2.87,2.5,5.35,3.03,-0.4,0.0,25.0,5.5,2.02,3.02,0.78,1.31,9.07,Engineering,Ok,Bad,0.0,0.0,0.0,Johnny Hopkins,Asian,male,0.0,USA,32.0,94539
8,-0.98,1.52,2.4,-0.16,1.0,-7.39,0.0,51.0,1.3,-1.56,3.71,4.59,3.13,10.35,Engineering,Ok,Good,0.0,1.0,1.0,Son Lamere,Asian,male,0.0,China,22.0,94618
9,0.16,3.1,3.6,6.78,3.78,1.27,0.0,16.0,2.7,-0.04,2.21,1.6,0.65,7.37,Engineering,Very Good,Good,0.0,0.0,0.0,Kevin Webster,Asian,male,0.0,Australia,34.0,95134
10,0.49,3.37,2.3,3.11,3.71,3.68,0.0,31.0,2.7,-0.28,1.95,-0.65,-0.06,7.14,Engineering,None,Good,1.0,0.0,0.0,Joe Moore,Asian,male,2.0,USA,26.0,94544
11,1.07,3.48,3.8,7.3,5.1,7.56,0.0,9.0,2.2,-0.78,1.8,0.59,0.1,6.74,Engineering,Very Good,Good,0.0,0.0,0.0,Paul Wise,Asian,male,2.0,USA,30.0,94085
12,-0.94,3.01,1.3,2.77,2.62,-2.66,0.0,20.0,2.9,0.06,2.87,1.49,2.57,10.51,Engineering,Very Good,Bad,0.0,1.0,0.0,Derrick Avallone,Asian,male,0.0,USA,28.0,94025
13,-1.08,3.72,1.6,-2.72,3.03,-0.04,0.0,29.0,1.7,-1.18,3.43,4.24,3.27,10.62,Quantitative,None,Good,0.0,1.0,0.0,Julius Smith,Asian,male,0.0,USA,25.0,94560
14,-0.86,2.81,1.1,2.89,1.95,-4.56,0.0,50.0,2.7,-0.32,2.12,0.27,0.25,7.21,Engineering,Ok,Bad,0.0,1.0,1.0,William Mills,Asian,male,0.0,USA,24.0,94609
15,0.4,3.12,2.4,1.48,3.23,2.27,0.0,42.0,0.5,-2.1,0.7,-1.35,-1.64,4.77,Quantitative,Ok,Good,0.0,0.0,0.0,Mark Douglas,Asian,male,2.0,USA,26.0,94605
16,0.49,2.73,3.4,1.83,2.99,1.33,0.0,5.0,3.1,-0.09,3.26,1.54,0.58,7.61,Engineering,Ok,Good,0.0,0.0,0.0,David Keeter,Asian,male,0.0,China,24.0,94043
17,-1.14,2.94,3.3,1.9,2.83,-2.97,0.8,49.0,0.8,-1.83,2.36,1.75,1.8,9.06,Engineering,None,Good,0.0,1.0,0.0,Fred Bonneville,Asian,male,0.0,USA,24.0,94502
18,-1.36,3.3,0.9,3.59,2.83,-3.07,0.0,43.0,3.3,0.38,1.96,0.15,1.09,8.64,Humanities,None,Bad,0.0,1.0,0.0,Daniel Bolk,Asian,male,1.0,China,27.0,94014
19,0.17,3.67,0.0,4.28,3.07,1.22,0.0,31.0,2.7,-0.27,3.06,3.81,3.19,10.44,Engineering,Ok,Good,0.0,0.0,0.0,Brandon Serrata,Asian,male,0.0,USA,29.0,94544
20,0.14,2.38,1.8,5.14,2.64,-0.78,0.0,69.0,2.3,-0.33,1.17,-1.61,-2.13,4.23,Engineering,Very Good,Bad,0.0,0.0,0.0,Salvador Brown,Asian,male,0.0,China,28.0,94510
21,0.01,2.04,2.9,3.63,2.52,-1.77,0.0,9.0,3.0,-0.53,4.46,4.24,2.58,9.88,Engineering,Ok,Bad,0.0,0.0,0.0,Albert Killough,Asian,male,0.0,China,34.0,94085
22,0.74,3.8,2.3,6.64,3.8,2.95,0.0,13.0,3.1,-0.12,1.8,0.32,1.87,9.58,Engineering,None,Good,1.0,0.0,0.0,Mike Cobb,Asian,male,2.0,USA,34.0,94022
23,-0.06,3.84,3.6,6.61,4.36,2.51,0.0,49.0,3.2,0.37,0.66,-1.54,-1.98,4.19,Engineering,Ok,Good,0.0,0.0,0.0,Lewis Bozeman,Asian,male,2.0,USA,35.0,94502
24,1.26,3.84,2.2,3.86,3.16,2.84,0.0,20.0,2.6,-0.51,1.73,-1.13,-0.5,6.71,Engineering,Very Good,Good,1.0,0.0,0.0,Arthur Martinez,Asian,male,2.0,USA,33.0,94025
25,1.09,3.53,2.9,7.7,4.32,5.15,0.0,36.0,5.5,2.19,1.21,-1.1,-1.02,5.6,Engineering,Very Good,Good,1.0,0.0,0.0,Billy Rankin,Asian,male,2.0,USA,37.0,94588
26,0.7,3.44,2.9,4.89,4.11,4.49,0.0,22.0,0.0,-3.13,2.78,0.53,0.18,7.26,Engineering,Very Good,Good,1.0,0.0,0.0,Steven Rooker,Asian,male,2.0,USA,33.0,94061
27,0.16,2.17,2.1,1.48,2.5,-0.14,0.0,9.0,1.2,-1.68,3.04,1.9,0.83,7.7,Sciences,None,Bad,0.0,0.0,0.0,Richard Simpson,Asian,male,0.0,USA,23.0,94085
28,0.87,2.96,1.3,5.29,3.55,4.01,0.0,44.0,0.0,-2.74,2.86,1.53,1.71,9.18,Quantitative,Very Good,Good,1.0,0.0,0.0,Anthony Young,Asian,male,2.0,USA,30.0,94131
29,0.21,3.09,2.9,4.71,4.28,4.33,0.0,41.0,4.1,1.18,1.95,-2.3,-3.1,3.32,Quantitative,Very Good,Good,1.0,1.0,0.0,Lewis Parker,Asian,male,0.0,Canada,28.0,94542
30,-0.42,3.21,2.1,2.78,3.27,0.41,2.1,45.0,3.8,1.2,0.0,-4.96,-3.36,3.34,Engineering,Very Good,Good,0.0,0.0,0.0,Aaron Kennedy,Asian,male,0.0,USA,33.0,94105
31,0.71,2.32,2.3,4.35,2.82,0.82,0.0,14.0,3.5,0.07,2.35,0.14,0.12,7.26,Quantitative,None,Good,0.0,0.0,0.0,Clyde Kerr,Asian,male,0.0,USA,26.0,95002
32,-0.29,2.75,1.0,6.06,2.92,-0.83,0.0,11.0,3.2,-0.02,2.85,2.26,3.36,11.52,Engineering,None,Bad,0.0,0.0,0.0,Lloyd Marquez,Asian,male,0.0,USA,36.0,94089
33,0.42,2.52,1.9,2.89,2.08,-1.8,0.0,15.0,3.1,-0.01,0.6,-1.19,-0.31,6.66,Engineering,Ok,Good,0.0,0.0,0.0,Dean Aviles,Asian,male,0.0,USA,28.0,95002
34,-0.67,1.16,2.6,0.26,1.25,-5.86,1.1,54.0,1.2,-1.29,3.57,2.84,2.44,9.96,Engineering,None,Bad,0.0,1.0,1.0,Jeffrey Hough,Asian,male,0.0,USA,25.0,94121
35,0.63,2.84,1.3,6.75,3.03,0.94,0.0,40.0,6.7,3.33,0.78,-2.91,-2.53,4.07,Engineering,Ok,Good,0.0,1.0,0.0,Armando Smith,Asian,male,0.0,USA,38.0,94603
36,-0.55,2.87,2.8,2.79,3.43,0.67,0.0,39.0,1.5,-1.37,2.32,1.02,0.23,6.89,Quantitative,Very Good,Good,1.0,0.0,0.0,John Carnes,Asian,male,0.0,USA,23.0,94578
37,0.54,3.59,0.9,7.52,4.42,5.34,0.0,11.0,2.7,-0.47,2.21,0.42,0.9,8.23,Quantitative,Very Good,Good,1.0,0.0,0.0,Lawrence Counterman,Asian,male,2.0,USA,31.0,94089
38,0.79,3.9,2.6,6.84,4.11,3.96,0.0,66.0,0.1,-2.17,3.76,2.55,2.55,10.35,Quantitative,Very Good,Good,0.0,0.0,0.0,John Garcia,Asian,male,2.0,USA,27.0,94925
39,0.17,3.78,2.2,3.25,3.7,2.83,0.0,13.0,1.8,-1.45,3.13,3.62,3.04,10.33,Quantitative,Very Good,Good,1.0,0.0,0.0,Kenneth Hayes,Asian,male,2.0,China,29.0,94022
40,1.22,2.82,1.6,7.24,3.25,2.8,0.0,3.0,9.5,5.59,1.61,-0.8,-0.21,6.9,Engineering,Ok,Good,1.0,0.0,0.0,Christopher Bostick,Asian,male,2.0,USA,41.0,94040
41,0.55,2.32,1.9,3.63,2.63,0.34,0.0,35.0,2.5,-0.7,1.23,-1.26,-1.93,4.31,Humanities,None,Good,0.0,0.0,0.0,Gary Mathis,Asian,male,0.0,USA,30.0,94566
42,-0.24,3.2,4.1,4.95,3.95,1.25,0.0,32.0,2.9,-0.05,1.9,-0.74,-1.11,5.59,Engineering,Ok,Good,0.0,0.0,0.0,Jerome Gonzales,Asian,male,0.0,USA,26.0,94544
43,0.05,2.72,1.7,2.27,2.53,-0.48,0.0,24.0,2.9,-0.06,2.38,0.33,0.61,7.85,Sciences,Very Good,Bad,0.0,0.0,0.0,John Jones,Asian,male,0.0,USA,30.0,94027
44,-0.46,3.74,3.4,3.19,3.96,1.75,0.0,8.0,6.9,3.18,1.68,1.31,1.56,8.76,Sciences,Very Good,Good,0.0,0.0,0.0,Evan Elliott,Asian,male,0.0,USA,36.0,94085
45,1.58,3.94,3.2,7.6,4.59,6.73,0.0,61.0,1.0,-1.61,3.25,1.34,0.17,6.99,Quantitative,Very Good,Good,1.0,0.0,0.0,Calvin Girgenti,Asian,male,2.0,USA,34.0,94707
46,0.35,3.28,1.9,4.64,3.28,1.39,0.0,41.0,4.9,1.68,3.79,3.2,2.1,9.37,Engineering,Very Good,Good,0.0,0.0,0.0,James Shrout,Asian,male,0.0,USA,32.0,94542
47,0.34,3.26,1.7,5.52,2.96,0.19,0.0,4.0,4.9,1.59,0.35,-2.03,-1.37,5.28,Quantitative,Ok,Good,0.0,0.0,0.0,Billy Thornton,Asian,male,0.0,USA,31.0,94040
48,-0.37,2.4,1.7,5.56,2.13,-4.07,0.0,43.0,2.3,-0.85,0.66,-3.26,-2.77,3.73,Engineering,Ok,Bad,0.0,1.0,1.0,David Williams,Asian,male,0.0,USA,32.0,94014
49,-0.16,2.55,2.2,1.09,2.32,-1.65,0.0,47.0,1.9,-0.94,2.91,2.74,2.42,9.76,Engineering,Ok,Good,1.0,0.0,0.0,Eric Barr,Asian,male,0.0,USA,23.0,94114
50,0.19,2.58,1.7,5.7,2.83,-0.56,0.0,48.0,3.7,0.91,1.5,-0.29,0.3,7.37,Humanities,Ok,Good,0.0,0.0,0.0,Chris Muilenburg,Asian,male,0.0,Australia,36.0,94109
51,0.23,2.85,1.1,1.46,2.08,-1.44,0.0,14.0,6.5,3.07,1.85,0.05,-0.68,5.82,Engineering,None,Good,0.0,0.0,0.0,Troy Morrill,Asian,male,0.0,USA,29.0,95002
52,-0.51,3.58,1.8,3.62,3.43,0.56,0.0,46.0,2.1,-0.79,2.75,1.38,1.25,8.49,Engineering,Ok,Good,0.0,0.0,0.0,Benjamin Robbs,Asian,male,0.0,Australia,28.0,94019
53,-0.84,2.62,2.5,3.97,2.94,-2.09,0.2,44.0,0.0,-2.9,0.28,-2.54,-2.85,3.31,Engineering,None,Bad,0.0,0.0,0.0,Brian Diaz,Asian,male,0.0,USA,24.0,94131
54,-0.46,2.21,2.0,3.94,2.71,-1.44,0.0,128.0,0.0,-3.09,1.05,-1.54,-2.62,3.25,Quantitative,None,Good,0.0,0.0,0.0,Daniel Butts,Asian,male,0.0,Australia,33.0,94970
55,0.22,3.28,1.2,6.83,3.97,3.47,0.0,52.0,6.6,3.33,0.48,-3.65,-2.92,3.65,Engineering,Very Good,Good,1.0,1.0,0.0,George Iglesias,Asian,male,2.0,USA,33.0,94611
56,0.75,3.86,2.4,5.29,4.48,5.9,0.0,38.0,2.5,-0.34,1.49,-1.76,-2.11,4.47,Quantitative,None,Good,1.0,0.0,0.0,Christopher Acosta,Asian,male,2.0,China,26.0,94586
57,-0.09,2.27,0.7,-0.04,1.1,-4.4,0.0,22.0,2.0,-0.97,2.94,0.45,0.92,8.53,Quantitative,None,Bad,0.0,1.0,1.0,Felipe Gupta,Asian,male,0.0,USA,25.0,94061
58,1.17,2.72,2.5,6.1,3.41,3.1,0.0,7.0,1.8,-1.2,1.21,-0.92,-0.66,6.05,Sciences,Ok,Good,1.0,0.0,1.0,Richard Bowser,Asian,male,2.0,USA,26.0,94043
59,-0.6,2.83,1.6,2.89,2.08,-4.07,0.0,7.0,1.8,-1.03,2.59,0.16,-0.1,6.92,Sciences,Ok,Bad,0.0,1.0,1.0,Ralph Weske,Asian,male,0.0,China,25.0,94043
60,0.52,2.94,1.2,7.28,3.25,1.71,0.0,6.0,4.7,1.42,2.44,1.96,1.47,8.49,Humanities,Ok,Good,0.0,0.0,0.0,John Arnold,Asian,male,2.0,USA,31.0,94043
61,-1.16,2.54,1.2,-0.84,2.01,-3.8,0.0,2.0,6.3,2.79,2.15,-0.1,-1.45,4.83,Engineering,Ok,Good,0.0,1.0,0.0,Willie Gonzales,Asian,male,0.0,USA,28.0,94040
62,-1.52,3.18,1.2,0.47,1.84,-6.04,0.0,33.0,4.8,1.64,0.9,-0.94,-0.65,6.07,Quantitative,Ok,Bad,0.0,1.0,1.0,Denis Gore,Asian,male,0.0,USA,32.0,94010
63,-0.77,2.04,0.6,0.82,1.2,-5.89,0.0,22.0,5.5,1.96,1.29,-1.85,-0.66,6.64,Engineering,None,Bad,0.0,1.0,1.0,Thomas Smith,Asian,male,0.0,USA,30.0,94061
64,0.87,3.04,1.9,2.92,3.19,3.04,0.0,45.0,4.8,1.81,1.62,0.32,1.19,8.63,Humanities,Ok,Good,1.0,0.0,0.0,Douglas Alford,Asian,male,2.0,China,32.0,94105
65,1.21,2.88,2.9,6.38,3.65,3.8,0.0,34.0,4.4,1.46,1.14,-1.76,-1.24,5.58,Quantitative,Very Good,Good,1.0,1.0,0.0,William Fulkerson,Asian,male,2.0,USA,33.0,94030
66,0.99,2.97,2.7,5.51,3.41,2.72,0.0,10.0,5.9,2.84,2.6,1.71,0.79,7.57,Engineering,Very Good,Good,0.0,1.0,0.0,Robert Brandenburg,Asian,male,2.0,USA,31.0,94085
67,0.37,2.86,2.8,3.37,3.19,1.55,0.0,59.0,3.1,0.52,1.87,-0.85,-0.74,6.24,Humanities,Ok,Good,0.0,1.0,0.0,Clifton Norsaganay,Asian,male,2.0,USA,29.0,94709
68,0.27,2.88,2.6,6.05,3.67,2.07,3.8,14.0,6.3,2.92,1.95,0.07,0.24,7.21,Engineering,Very Good,Good,0.0,0.0,0.0,Thomas Harris,Asian,male,2.0,USA,35.0,95002
69,2.75,3.98,2.8,9.04,4.43,8.34,0.0,42.0,3.3,0.27,2.11,1.27,0.63,7.29,Sciences,Ok,Good,1.0,0.0,0.0,Garland Harian,Asian,male,2.0,China,33.0,94605
70,-0.08,3.61,2.7,0.21,2.97,0.26,0.0,41.0,5.7,2.23,1.54,-2.13,-2.08,4.59,Sciences,Ok,Bad,0.0,0.0,0.0,Thomas Galvin,Asian,male,0.0,China,27.0,94542
71,0.33,3.07,1.9,2.89,2.64,-0.05,0.0,60.0,1.6,-1.41,1.3,-1.13,-1.14,5.54,Engineering,Ok,Good,0.0,0.0,0.0,Steven Prestridge,Asian,male,0.0,China,24.0,94707
72,0.97,3.32,1.7,7.72,4.14,5.02,0.0,21.0,4.3,0.77,1.64,0.12,1.04,8.43,Humanities,None,Good,1.0,0.0,0.0,Marvin Barlett,Asian,male,0.0,USA,33.0,94538
73,0.33,3.49,2.6,4.75,3.38,1.29,0.0,47.0,2.7,-0.02,1.4,-0.8,-0.05,7.06,Quantitative,Ok,Good,0.0,0.0,0.0,Edwin Sloan,Asian,male,0.0,USA,28.0,94114
74,0.09,3.43,3.6,5.07,3.85,1.61,0.0,65.0,4.0,1.25,2.64,2.61,1.4,8.1,Engineering,Ok,Good,0.0,0.0,0.0,Lawrence Hess,Asian,male,2.0,USA,37.0,94556
75,1.06,3.12,2.1,6.05,3.9,4.8,0.0,94.0,0.4,-1.9,2.03,0.17,-0.29,6.52,Quantitative,Ok,Good,1.0,1.0,0.0,Jason Domhoff,Asian,male,2.0,USA,27.0,94904
76,-0.09,2.75,3.0,-0.1,2.49,-1.15,0.0,38.0,0.2,-2.2,2.42,1.19,1.14,8.37,Quantitative,None,Bad,0.0,0.0,0.0,Ronald Mcclellan,Asian,male,0.0,China,25.0,94586
77,1.22,2.6,3.2,7.16,3.84,4.16,1.9,45.0,2.5,-0.13,1.58,-0.58,-0.87,5.82,Quantitative,Ok,Good,0.0,0.0,0.0,James Mctaggart,Asian,male,2.0,USA,36.0,94105
78,-0.71,4.13,1.0,4.58,3.64,0.43,0.0,32.0,0.7,-1.93,2.16,-0.02,-0.42,6.43,Engineering,Ok,Good,0.0,0.0,0.0,Robert Struck,Asian,male,0.0,USA,23.0,94544
