,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.15,4.18,3.5,5.24,4.92,5.35,0.0,20.0,3.8,1.04,1.8,-1.0,-0.45,6.71,Quantitative,Very Good,Good,1.0,0.0,0.0,Warren Rathbone,Caucasian,male,2.0,USA,28.0,94025
1,-0.16,2.75,2.4,1.24,2.29,-2.13,0.0,40.0,2.4,-2.9,3.21,1.32,1.69,9.33,Engineering,None,Bad,0.0,0.0,0.0,Jeff Henry,Caucasian,male,0.0,USA,28.0,94603
2,-0.62,3.23,1.4,1.63,2.56,-2.04,0.0,26.0,4.0,-2.87,1.01,-1.5,-2.58,3.46,Sciences,Ok,Bad,0.0,0.0,0.0,Greg Dial,Caucasian,male,0.0,USA,24.0,94403
3,-0.76,2.48,1.8,2.05,2.06,-4.0,0.0,71.0,0.0,-2.07,3.29,0.92,0.82,8.39,Engineering,Ok,Bad,0.0,1.0,0.0,James Fonte,Caucasian,male,0.0,USA,25.0,94509
4,-0.2,2.53,1.7,5.0,2.22,-3.43,2.6,67.0,3.6,1.1,0.81,-0.79,-1.48,4.7,Sciences,Very Good,Bad,0.0,1.0,0.0,Joseph Fritz,Caucasian,male,1.0,USA,30.0,94598
5,0.34,3.11,2.2,4.13,3.32,1.76,3.1,33.0,0.7,-0.03,2.13,-2.04,-2.73,3.86,Engineering,Very Good,Good,0.0,0.0,0.0,Dennis Dilks,Caucasian,male,0.0,USA,31.0,94010
6,0.6,3.65,2.3,7.73,4.07,3.0,0.0,42.0,3.7,-0.84,1.38,-1.52,-1.2,5.63,Engineering,Very Good,Good,1.0,0.0,0.0,David Oconnor,Caucasian,male,2.0,USA,38.0,94605
7,0.32,2.71,0.6,4.91,2.27,-1.28,0.0,32.0,3.1,-0.13,1.13,-2.05,-2.64,3.56,Engineering,Very Good,Good,0.0,0.0,0.0,Joshua Affolter,Caucasian,male,0.0,Canada,28.0,94544
8,0.07,4.16,1.9,4.49,3.44,0.81,5.4,60.0,5.8,4.11,1.81,-0.03,-0.53,6.19,Humanities,None,Bad,1.0,1.0,1.0,Robert Kellstrom,Caucasian,male,0.0,USA,35.0,94707
9,-0.44,2.71,2.3,2.66,2.52,-2.19,0.0,4.0,3.5,-3.29,3.39,3.01,1.72,8.66,Engineering,Ok,Good,0.0,0.0,0.0,Robert Flores,Caucasian,male,0.0,USA,28.0,94040
