,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.04,2.73,1.2,-1.65,1.55,-2.6,0.0,39.0,0.0,-3.06,0.14,-3.53,-2.7,3.92,Quantitative,None,Good,0.0,1.0,0.0,James Duhe,Hispanic,male,0.0,USA,20.0,94578
1,-0.16,3.82,0.7,1.43,2.7,-0.29,0.8,48.0,0.5,-2.12,3.25,2.14,2.13,9.66,Engineering,Ok,Bad,0.0,0.0,0.0,David Kollar,Hispanic,male,0.0,USA,24.0,94109
2,0.05,3.0,2.6,4.76,3.34,0.94,0.0,24.0,2.8,-0.41,0.0,-2.54,-0.9,6.18,Quantitative,Very Good,Bad,1.0,0.0,0.0,John Mcwhorter,Hispanic,male,0.0,USA,26.0,94027
3,-0.42,3.17,3.0,2.62,3.39,0.45,0.0,45.0,0.6,-2.09,0.37,-2.24,-1.11,5.68,Engineering,Very Good,Good,0.0,1.0,0.0,Francis Peak,Hispanic,male,0.0,USA,28.0,94105
4,-0.33,3.04,2.0,3.21,3.48,1.4,2.8,22.0,4.4,1.11,3.05,-0.06,0.45,8.0,Quantitative,None,Good,0.0,0.0,0.0,John Feth,Hispanic,male,0.0,USA,30.0,94061
5,0.89,3.4,1.6,5.44,3.53,3.37,0.0,34.0,8.4,4.56,1.71,-1.38,-1.77,4.85,Quantitative,Very Good,Good,1.0,0.0,0.0,Ronald Rowe,Hispanic,male,2.0,Australia,34.0,94030
6,0.58,4.07,2.1,4.34,4.0,4.07,0.0,8.0,7.3,4.11,2.3,0.12,-0.0,7.04,Engineering,Ok,Good,1.0,1.0,0.0,Leonard Pale,Hispanic,male,2.0,USA,35.0,94085
7,0.54,3.88,2.1,6.0,4.03,3.41,0.0,31.0,3.9,0.89,2.44,1.19,1.96,9.59,Quantitative,Very Good,Good,1.0,0.0,0.0,Al Kagawa,Hispanic,male,2.0,USA,31.0,94544
8,-0.34,2.75,1.3,3.89,2.5,-2.2,3.0,26.0,4.7,1.55,2.43,0.64,0.48,7.55,Engineering,None,Bad,0.0,1.0,0.0,Michael Votta,Hispanic,male,0.0,USA,29.0,94403
9,-0.21,2.14,1.5,3.52,2.54,-1.17,0.0,41.0,0.5,-2.14,1.77,-1.91,-2.35,4.3,Quantitative,Ok,Good,0.0,0.0,0.0,Joseph Parker,Hispanic,male,0.0,Canada,30.0,94542
10,0.14,3.61,1.2,5.2,2.52,-1.66,0.0,32.0,2.3,-0.58,1.89,-0.31,0.99,8.56,Engineering,None,Bad,0.0,0.0,0.0,Darwin Bowman,Hispanic,male,0.0,USA,32.0,94544
11,0.3,3.12,2.3,4.9,3.06,0.13,0.0,20.0,7.2,3.9,1.51,-1.12,-0.41,6.68,Engineering,Ok,Bad,0.0,0.0,0.0,Loren Hayes,Hispanic,male,0.0,USA,36.0,94025
12,-0.33,2.69,1.9,4.77,3.01,-0.66,2.9,33.0,4.6,1.51,2.72,1.61,0.6,7.37,Engineering,Very Good,Good,0.0,0.0,0.0,Aaron Cooper,Hispanic,male,0.0,USA,35.0,94010
13,-0.18,2.62,2.2,3.13,3.01,0.19,0.0,15.0,4.2,1.15,3.28,1.58,0.78,7.92,Sciences,None,Good,0.0,0.0,0.0,Jason Stewart,Hispanic,male,0.0,USA,37.0,95002
14,0.11,2.63,1.5,7.82,3.0,-0.72,0.0,16.0,3.1,-0.16,3.88,4.91,3.81,11.15,Quantitative,Ok,Bad,0.0,0.0,0.0,Desmond Hamilton,Hispanic,male,0.0,USA,35.0,95134
15,-0.36,4.07,3.2,2.69,4.22,2.88,1.3,108.0,1.0,-1.18,3.59,1.51,1.7,9.35,Sciences,Very Good,Good,0.0,0.0,0.0,Gerard Pullen,Hispanic,male,2.0,USA,26.0,95620
16,0.4,2.62,1.0,12.16,3.94,2.08,0.0,4.0,3.6,0.33,1.39,0.8,0.96,7.81,Quantitative,Very Good,Good,0.0,1.0,0.0,Bruce Voorhies,Hispanic,male,2.0,USA,35.0,94040
