,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,1.0,2.77,4.8,5.0,3.89,3.69,0.0,46.0,5.2,1.28,0.0,-7.32,-4.92,1.84,Quantitative,Ok,Bad,1.0,0.0,0.0,Daniel Garcia,Other,male,1.0,China,33.0,94019
1,-0.53,2.85,2.3,3.83,2.44,-3.15,0.0,17.0,3.0,-0.05,2.75,-0.21,0.01,7.38,Engineering,Very Good,Bad,0.0,1.0,0.0,Jeffery Hoover,Other,male,0.0,USA,26.0,94301
2,-0.31,3.71,3.2,2.56,3.49,0.48,1.9,10.0,2.6,-0.62,0.0,-4.12,-4.2,1.77,Engineering,Very Good,Good,0.0,0.0,0.0,Louis King,Other,male,0.0,USA,29.0,94085
3,0.09,3.27,0.8,6.23,3.5,1.72,0.0,35.0,2.0,-0.6,3.69,3.23,2.08,9.32,Quantitative,Ok,Good,0.0,0.0,0.0,Noah Lermon,Other,male,2.0,USA,38.0,94566
4,-0.13,3.69,2.7,7.21,4.43,2.9,0.0,72.0,0.0,-2.39,1.95,0.14,0.93,8.39,Engineering,Very Good,Good,1.0,0.0,0.0,James Zahn,Other,male,2.0,USA,27.0,94572
5,-0.32,2.89,3.0,5.08,3.29,-0.63,0.0,12.0,5.5,2.06,1.08,0.17,-0.45,5.83,Sciences,None,Good,0.0,1.0,0.0,Glenn Shaffer,Other,male,0.0,USA,31.0,94087
6,-0.52,2.59,2.5,2.21,2.53,-2.19,0.0,38.0,0.2,-2.29,0.0,-3.13,-3.08,3.09,Humanities,None,Bad,1.0,0.0,0.0,Steve Martinez,Other,male,0.0,USA,31.0,94586
7,0.05,2.77,1.5,7.67,3.93,2.74,2.7,46.0,4.0,0.86,0.0,-2.58,-1.22,5.65,Engineering,Ok,Good,1.0,0.0,0.0,Rafael Dobles,Other,male,2.0,USA,36.0,94019
8,0.16,2.5,2.7,6.74,3.05,-0.51,0.0,26.0,6.4,2.58,2.43,0.3,0.38,7.51,Sciences,Ok,Bad,0.0,0.0,0.0,Matthew Ness,Other,male,2.0,USA,36.0,94403
9,0.55,3.41,3.1,6.87,4.55,5.18,0.0,3.0,6.5,2.94,2.68,2.23,1.55,8.53,Quantitative,Ok,Good,1.0,0.0,0.0,Brad Hewlett,Other,male,2.0,USA,34.0,94040
