Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Gary Perez,Caucasian,male,2.0,USA,33.0,94564,4,2.79,0.16,4.5,1.63,6.3100000000000005,0.0,62.0,5.0,3.74,2.88,1.65,1.31,8.48,Humanities,None,Good,0.0,1.0,0.0
Eva Cornell,African-American,female,0.0,USA,30.0,94040,3,3.81,0.12,5.0,3.41,9.34,0.0,2.0,3.5,-0.39,1.5,-1.3,-2.03,4.32,Engineering,Very Good,Good,0.0,0.0,0.0
Kenneth Mullins,African-American,male,0.0,USA,31.0,94509,5,2.84,0.26,6.0,2.64,9.399999999999999,3.0,71.0,4.0,0.44999999999999996,3.68,1.93,1.51,8.97,Sciences,Ok,Good,1.0,0.0,0.0
Tyler Tanaka,Caucasian,male,2.0,USA,31.0,94556,4,3.98,0.34,4.5,3.91,13.370000000000001,0.0,65.0,1.0,-1.3,4.44,5.81,4.88,12.61,Engineering,None,Good,1.0,0.0,1.0
Annie Howard,Other,female,2.0,China,30.0,94618,5,3.35,0.62,4.0,3.79,13.73,0.0,51.0,2.5,-0.2,3.15,2.42,1.72,8.98,Humanities,Ok,Good,1.0,0.0,0.0
Robert Stith,Caucasian,male,0.0,USA,30.0,94085,1,3.1,0.28,2.0,2.98,9.37,0.0,10.0,6.0,1.82,1.31,-0.47,0.27,7.54,Quantitative,None,Good,0.0,0.0,0.0
Carlos Brangers,Caucasian,male,1.0,Australia,25.0,94109,1,3.19,0.48,0.0,2.44,6.34,0.0,48.0,2.5,-0.73,3.4,4.11,3.65,11.07,Engineering,Very Good,Good,0.0,0.0,1.0
Thomas Gunter,Hispanic,male,1.0,USA,32.0,94014,4,3.35,0.6,6.0,4.02,12.649999999999999,0.0,43.0,1.0,-2.51,1.3,-2.51,-2.34,4.38,Quantitative,Very Good,Good,1.0,0.0,0.0
Martha Marshall,Caucasian,female,0.0,USA,30.0,94040,2,3.25,0.28,4.5,3.33,9.63,0.0,3.0,3.0,-0.47,1.85,0.53,0.36,7.29,Quantitative,Very Good,Good,0.0,0.0,0.0
Tina Doughty,Asian,female,1.0,USA,30.0,94025,1,2.76,0.2,2.5,1.68,2.13,0.0,20.0,5.0,1.75,2.78,0.6,0.88,8.36,Quantitative,Ok,Good,0.0,1.0,1.0
