Gender,Race,Birth Origin,Age,Sports,Avg Deals Closed,Technical Aptitude,HireVue Score,Leadership Capability,Manager's Assessment Score,Educational Prestige,Education,Soft Skills,GPA,Years of Experience,Job Tenure,Military Tenure,Avg Commute Time,Cultural Fit,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names
female,Other,USA,25.0,NCAA,4.85,-1.84,-2.0,1.49,2.2053020534018724,1.7,0.41,3.07,3.65,1.0,-1.4099303551289846,1.2,33.0,-1.0,Engineering,Ok,Good,0.0,0.0,0.0,Natasha Willoughby
female,Other,USA,32.0,None,4.41,-1.58,0.15,1.77,-0.22530336793725225,1.9,-0.09,2.86,2.58,3.2,-0.396970921546794,1.8,45.0,-0.16,Engineering,None,Bad,0.0,0.0,0.0,May Greer
female,Other,USA,27.0,None,8.67,1.11,0.8,2.93,0.6199298632095732,3.3,-0.26,3.65,3.29,4.4,-1.4345683987085354,1.2,35.0,-1.01,Quantitative,Ok,Good,0.0,0.0,0.0,Maria Angle
female,Other,USA,33.0,NCAA,8.7,1.38,1.38,3.0,3.707022510328383,2.8,-0.36,4.47,3.97,3.2,-0.9685956538621909,1.4,27.0,-0.78,Engineering,Ok,Good,1.0,0.0,0.0,Shirley Holmes
female,Other,USA,23.0,None,8.31,0.88,0.98,3.13,-2.0707914387416504,3.6,-0.46,2.53,2.27,1.1,0.8137915593072262,2.4,3.0,0.33,Engineering,Ok,Good,0.0,0.0,0.0,Sylvia Rankins
female,Other,USA,32.0,None,8.82,1.31,0.54,2.09,0.40637549526368555,1.9,-0.08,3.42,2.76,7.4,-1.5436462613410138,1.4,25.0,-1.18,Quantitative,Ok,Good,0.0,0.0,0.0,Mary Hayes
female,Other,USA,29.0,None,7.92,0.86,1.16,2.14,0.07939241092834992,2.3,-0.5,3.54,2.8,6.3,-0.9454419204324676,1.5,25.0,-0.67,Humanities,Very Good,Good,0.0,0.0,0.0,Lauren Rzeczycki
female,Other,USA,32.0,None,4.92,-1.5,-1.05,1.27,-2.109706793976341,2.2,-0.49,2.85,3.27,4.7,2.3701284158379097,3.4,50.0,1.78,Quantitative,None,Bad,0.0,0.0,0.0,Mary Gentle
female,Other,USA,18.0,None,1.77,-3.99,-3.37,0.0,-4.887787020427717,0.3,-1.59,1.7,2.92,-1.7,-2.613409432967575,0.6,27.0,-1.89,Quantitative,None,Good,0.0,1.0,1.0,Mary Boettcher
female,Other,USA,31.0,Club/Intramural,7.96,0.87,1.3,2.72,-0.7437799095037957,1.2,0.19,2.14,2.38,0.0,-1.5978949522516643,1.0,13.0,-1.21,Humanities,None,Good,0.0,0.0,0.0,Cynthia Galloway
